Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Kyrie Irving,1,1,16/10/2018,26-207,BOS,Home,PHI,W (+18),1,29:00:00,2,14,0.143,1,8,0.125,2,2,1,0,4,4,7,0,0,3,1,7,0.7,9
Kyrie Irving,2,2,19/10/2018,26-210,BOS,Away,TOR,L (-12),1,35:56:00,10,20,0.5,1,3,0.333,0,0,,2,2,4,6,0,1,1,3,21,15.7,-16
Kyrie Irving,3,3,20/10/2018,26-211,BOS,Away,NYK,W (+2),1,32:06:00,5,16,0.313,0,3,0,6,7,0.857,0,1,1,5,2,0,2,3,16,9,-13
Kyrie Irving,4,4,22/10/2018,26-213,BOS,Home,ORL,L (-3),1,34:01:00,10,19,0.526,2,8,0.25,0,0,,1,7,8,5,2,1,4,1,22,17.3,-8
Kyrie Irving,5,5,25/10/2018,26-216,BOS,Away,OKC,W (+6),1,33:33:00,6,13,0.462,2,6,0.333,1,4,0.25,1,4,5,5,0,0,3,3,15,8.3,2
Kyrie Irving,6,6,27/10/2018,26-218,BOS,Away,DET,W (+20),1,23:27,1,5,0.2,1,1,1,0,0,,0,7,7,5,1,1,2,1,3,4.8,13
Kyrie Irving,7,7,30/10/2018,26-221,BOS,Home,DET,W (+3),1,33:25:00,10,16,0.625,4,7,0.571,7,8,0.875,1,4,5,5,1,0,2,0,31,27.8,1
Kyrie Irving,8,8,1/11/2018,26-223,BOS,Home,MIL,W (+4),1,33:17:00,10,20,0.5,6,12,0.5,2,2,1,1,2,3,7,1,2,2,2,28,23.8,12
Kyrie Irving,9,9,3/11/2018,26-225,BOS,Away,IND,L (-1),1,27:23:00,6,12,0.5,4,7,0.571,2,2,1,0,6,6,3,0,1,3,3,18,12.4,8
Kyrie Irving,10,10,5/11/2018,26-227,BOS,Away,DEN,L (-8),1,33:57:00,13,17,0.765,4,6,0.667,1,1,1,2,3,5,5,3,1,2,3,31,30.6,2
